#name: raw data
#device: UN-0000.00.00
#eegchannels: 8
#triggerchannels: 6
#samplingrate: 250
Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,trigger,id,target,nontarget,trial,islast
100187.400,100188.700,100189.300,100188.900,100190.700,100194.300,100194.600,100193.900,0.000,0.000,0.000,0.000,0.000,0.000
100066.800,100069.300,100068.700,100068.800,100071.900,100079.000,100079.100,100078.800,0.000,0.000,0.000,0.000,0.000,0.000
99840.200,99843.870,99844.090,99844.110,99847.160,99857.660,99857.090,99857.120,0.000,0.000,0.000,0.000,0.000,0.000
99878.480,99882.800,99882.890,99883.660,99887.120,99899.910,99900.090,99900.330,0.000,0.000,0.000,0.000,0.000,0.000
100094.600,100099.500,100100.200,100100.400,100104.400,100118.800,100119.100,100118.800,0.000,0.000,0.000,0.000,0.000,0.000
100132.000,100137.400,100137.700,100137.900,100142.600,100157.000,100157.400,100157.200,0.000,0.000,0.000,0.000,0.000,0.000
99969.110,99973.120,99973.160,99973.380,99978.590,99993.570,99992.880,99992.970,0.000,0.000,0.000,0.000,0.000,0.000
99893.020,99897.140,99896.880,99897.360,99901.660,99914.740,99914.760,99915.050,0.000,0.000,0.000,0.000,0.000,0.000
99987.250,99991.330,99991.090,99991.690,99995.730,100007.200,100006.700,100006.300,0.000,0.000,0.000,0.000,0.000,0.000
100055.500,100058.000,100058.400,100058.500,100061.400,100069.500,100069.700,100070.200,0.000,0.000,0.000,0.000,0.000,0.000
100012.300,100014.500,100014.500,100013.700,100015.600,100021.100,100021.000,100021.100,0.000,0.000,0.000,0.000,0.000,0.000
99982.490,99982.710,99982.260,99982.950,99982.920,99985.690,99985.560,99984.760,0.000,0.000,0.000,0.000,0.000,0.000
99998.900,99998.310,99998.560,99998.130,99998.120,99996.000,99995.600,99995.340,0.000,0.000,0.000,0.000,0.000,0.000
99968.980,99966.540,99966.880,99966.630,99964.700,99959.310,99959.500,99959.840,0.000,0.000,0.000,0.000,0.000,0.000
99925.480,99922.810,99922.550,99923.030,99919.520,99911.570,99910.770,99910.700,0.000,0.000,0.000,0.000,0.000,0.000
99993.300,99989.200,99990.000,99989.600,99986.160,99974.340,99974.620,99974.630,0.000,0.000,0.000,0.000,0.000,0.000
100088.500,100084.100,100083.900,100083.700,100079.300,100065.300,100066.200,100066.200,0.000,0.000,0.000,0.000,0.000,0.000
100012.500,100007.900,100007.400,100007.100,100002.800,99988.230,99988.320,99987.990,0.000,0.000,0.000,0.000,0.000,0.000
99848.170,99843.390,99843.730,99843.800,99838.950,99823.380,99824.140,99823.700,0.000,0.000,0.000,0.000,0.000,0.000
99885.770,99881.340,99881.630,99881.480,99876.700,99862.440,99861.760,99861.690,0.000,0.000,0.000,0.000,0.000,0.000
100101.700,100097.800,100097.900,100097.700,100093.900,100080.500,100080.800,100080.500,0.000,0.000,0.000,0.000,0.000,0.000
100140.600,100137.000,100136.800,100136.900,100133.800,100123.100,100123.400,100123.500,0.000,0.000,0.000,0.000,0.000,0.000
99913.970,99911.680,99911.880,99912.080,99909.060,99902.050,99901.910,99902.200,0.000,0.000,0.000,0.000,0.000,0.000
