#name: raw data
#device: UN-0000.00.00
#eegchannels: 8
#triggerchannels: 6
#samplingrate: 250
Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,trigger,id,target,nontarget,trial,islast
99987.430,99991.000,99991.060,99991.640,99995.550,100006.400,100006.800,100006.600,0.000,0.000,0.000,0.000,0.000,0.000
100055.200,100058.500,100057.800,100058.400,100060.900,100069.900,100070.200,100070.300,0.000,0.000,0.000,0.000,0.000,0.000
100012.500,100013.800,100014.200,100014.300,100016.200,100021.800,100021.800,100021.500,0.000,0.000,0.000,0.000,0.000,0.000
99981.950,99983.130,99982.610,99982.500,99983.400,99984.720,99985.450,99984.950,0.000,0.000,0.000,0.000,0.000,0.000
99998.490,99998.230,99998.450,99998.160,99997.870,99995.850,99995.390,99995.380,0.000,0.000,0.000,0.000,0.000,0.000
99968.640,99966.490,99966.480,99967.120,99964.760,99959.670,99959.510,99959.560,0.000,0.000,0.000,0.000,0.000,0.000
99926.260,99922.450,99922.550,99922.650,99920.060,99911.350,99911.550,99911.180,0.000,0.000,0.000,0.000,0.000,0.000
99993.260,99989.760,99989.490,99990.000,99985.980,99973.890,99974.400,99974.260,0.000,0.000,0.000,0.000,0.000,0.000
100088.100,100084.400,100084.100,100084.300,100079.700,100065.800,100065.500,100065.500,0.000,0.000,0.000,0.000,0.000,0.000
100012.000,100007.500,100007.300,100007.600,100002.900,99987.450,99987.690,99988.090,0.000,0.000,0.000,0.000,0.000,0.000
99848.590,99844.020,99843.490,99843.630,99838.980,99823.640,99823.800,99823.520,0.000,0.000,0.000,0.000,0.000,0.000
99885.910,99880.760,99880.700,99880.690,99876.050,99861.820,99861.980,99861.800,0.000,0.000,0.000,0.000,0.000,0.000
100101.900,100097.800,100097.800,100097.500,100093.900,100080.900,100081.100,100080.800,0.000,0.000,0.000,0.000,0.000,0.000
100141.000,100137.700,100136.900,100136.800,100133.600,100123.300,100123.800,100123.200,0.000,0.000,0.000,0.000,0.000,0.000
99914.150,99912.070,99911.870,99912.280,99909.860,99902.000,99902.520,99902.520,0.000,0.000,0.000,0.000,0.000,0.000
99792.930,99791.750,99791.790,99792.090,99790.580,99786.580,99787.380,99787.270,0.000,0.000,0.000,0.000,0.000,0.000
99990.200,99990.180,99990.300,99990.300,99990.630,99990.160,99990.920,99990.990,0.000,0.000,0.000,0.000,0.000,0.000
100187.700,100189.600,100189.400,100189.500,100190.200,100194.200,100193.600,100193.900,0.000,0.000,0.000,0.000,0.000,0.000
100066.500,100069.500,100069.300,100069.100,100071.800,100078.700,100078.600,100078.400,0.000,0.000,0.000,0.000,0.000,0.000
99840.650,99844.080,99844.140,99843.720,99846.750,99857.870,99857.880,99857.560,0.000,0.000,0.000,0.000,0.000,0.000
99879.470,99882.970,99883.540,99882.840,99887.840,99899.980,99900.110,99899.700,0.000,0.000,0.000,0.000,0.000,0.000
100095.300,100099.800,100099.900,100100.200,100104.600,100119.200,100118.800,100119.100,0.000,0.000,0.000,0.000,0.000,0.000
100132.300,100137.000,100137.200,100137.400,100142.300,100157.300,100156.900,100157.500,0.000,0.000,0.000,0.000,0.000,0.000
99968.910,99973.130,99973.520,99973.840,99978.230,99993.150,99993.600,99993.020,0.000,0.000,0.000,0.000,0.000,0.000
99892.170,99896.730,99897.500,99896.680,99901.900,99915.590,99915.090,99914.720,0.000,0.000,0.000,0.000,0.000,0.000
99987.410,99991.540,99991.780,99991.280,99995.730,100006.900,100007.100,100007.300,0.000,0.000,0.000,0.000,0.000,0.000
100055.100,100057.800,100057.700,100058.500,100061.100,100069.700,100069.500,100069.900,0.000,0.000,0.000,0.000,0.000,0.000
100011.900,100013.800,100013.900,100014.400,100016.300,100021.700,100021.800,100021.100,0.000,0.000,0.000,0.000,0.000,0.000
99982.060,99982.410,99982.940,99982.540,99983.770,99985.010,99985.670,99985.190,0.000,0.000,0.000,0.000,0.000,0.000
99999.170,99998.110,99997.960,99998.550,99997.670,99995.960,99995.940,99995.510,0.000,0.000,0.000,0.000,0.000,0.000
99968.600,99966.930,99966.770,99966.550,99964.950,99960.050,99959.800,99959.760,0.000,0.000,0.000,0.000,0.000,0.000
99926.270,99922.690,99923.250,99922.960,99919.980,99911.190,99910.730,99911.300,0.000,0.000,0.000,0.000,0.000,0.000
99993.790,99989.800,99990.020,99989.910,99986.110,99974.130,99973.750,99973.880,0.000,0.000,0.000,0.000,0.000,0.000
100088.100,100084.000,100083.600,100083.700,100079.100,100065.700,100065.400,100065.800,0.000,0.000,0.000,0.000,0.000,0.000
100012.400,100007.100,100007.500,100007.400,100002.400,99988.030,99988.160,99987.820,0.000,0.000,0.000,0.000,0.000,0.000
99848.560,99843.140,99843.520,99843.770,99838.570,99823.560,99824.110,99823.360,0.000,0.000,0.000,0.000,0.000,0.000
99885.610,99881.130,99881.570,99881.450,99876.630,99862.470,99861.980,99862.520,0.000,0.000,0.000,0.000,0.000,0.000
100102.000,100097.500,100098.300,100098.100,100093.900,100080.900,100080.900,100080.900,0.000,0.000,0.000,0.000,0.000,0.000
100140.400,100137.000,100137.700,100137.100,100133.400,100123.700,100123.300,100123.200,0.000,0.000,0.000,0.000,0.000,0.000
99914.720,99911.880,99911.790,99912.270,99909.060,99902.220,99902.550,99902.610,0.000,0.000,0.000,0.000,0.000,0.000
99793.260,99792.340,99791.430,99792.060,99790.610,99786.660,99787.160,99787.090,0.000,0.000,0.000,0.000,0.000,0.000
99990.770,99990.580,99990.950,99990.200,99990.770,99990.090,99990.690,99990.010,0.000,0.000,0.000,0.000,0.000,0.000
100187.900,100189.600,100189.100,100188.800,100190.300,100194.200,100193.800,100194.200,0.000,0.000,0.000,0.000,0.000,0.000
100066.400,100069.400,100069.500,100068.900,100071.500,100078.700,100079.100,100078.200,0.000,0.000,0.000,0.000,0.000,0.000
99840.300,99843.410,99843.360,99844.090,99847.070,99857.730,99857.940,99857.880,0.000,0.000,0.000,0.000,0.000,0.000
